name,serotype,source,cluster,location
47_S47_Hikojima_2023,Hikojima,campsite,cluster-b,Bulengo
48_S48_Inaba_2023,Inaba,campsite,cluster-e,Kibati
62_S62_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
84_S84_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
2404_23_S51_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2409_23_S52_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
127_S127_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
2428_23_S57_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
2431_23_S95_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2432_23_S92_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2439_23_S93_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2448_23_S91_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2449_23_S90_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2452_23_S88_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2563_23_S14_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
35_S35_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
83_S83_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
99_S99_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2433_23_S20_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2444_23_S17_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2450_23_S18_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
98_S98_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2562_23_S87_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
81_S81_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
2507_23_S56_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2508_23_S53_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2510_23_S54_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
2540_23_S89_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
2543_23_S16_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
2550_23_S13_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2564_23_S11_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2566_23_S12_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
97_S97_Ogawa_2023,Ogawa,campsite,cluster-e,Kibati
30_S30_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
31_S31_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
41_S41_Hikojima_2023,Hikojima,campsite,cluster-d,Don-Bosco
54_S54_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
2798_23_S86_Inaba_2023,Inaba,campsite,cluster-e,Kibati
60_S60_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
2860_23_S66_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
2908_23_S65_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
2911_23_S59_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
45_S45_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
57_S57_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
3167_23_S60_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3176_23_S6_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3177_23_S55_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3260_23_S64_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
46_S46_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
51_S51_Hikojima_2023,Hikojima,campsite,cluster-c,Rusayo
61_S61_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
3439_23_S58_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
3604_S53_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
42_S42_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
53_S53_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
3502_23_S9_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
3549_S69_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
3596_23_S79_Inaba_2023,Inaba,campsite,cluster-b,Bulengo
3597_23_S10_Ogawa_2023,Ogawa,campsite,cluster-b,Bulengo
3602_23_S61_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
3609_23_S63_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
145_S145_Inaba_2023,Inaba,env,env,Buhimba
146_S146_Inaba_2023,Inaba,env,env,Buhimba
138_S138_Ogawa_2023,Ogawa,env,env,Mubambiro mouth
137_S137_S1_Ogawa_2023,Ogawa,env,env,Mubambiro mouth
190_S190_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
43_S43_Inaba_2023,Inaba,campsite,cluster-b,Bulengo
50_S50_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
188_S188_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
4086_S64_Inaba_2023,Inaba,ctc,ctc,Buhimba
4087_S51_Hikojima_2023,Hikojima,ctc,ctc,Buhimba
4144_S55_Inaba_2023,Inaba,campsite,cluster-e,Munigi
4152_S60_Hikojima_2023,Hikojima,campsite,cluster-c,Rusayo
118_S118_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
4232_S62_Inaba_2023,Inaba,campsite,cluster-e,Munigi
93_S93_Inaba_2023,Inaba,campsite,cluster-e,Munigi
8_S8_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
4188_23_S7_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
87_S87_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
4258_S59_Ogawa_2023,Ogawa,campsite,cluster-a,Nzulo
4234_S68_Inaba_2023,Inaba,ctc,ctc,Buhimba
128_S128_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
136_S136_Ogawa_2023,Ogawa,env,env,Buhimba
4254_S67_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
94_S94_Hikojima_2023,Hikojima,campsite,cluster-b,Buhimba
4253_23_S80_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
4255_23_S78_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
56_S56_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
111_S111_Ogawa_2023,Ogawa,campsite,cluster-c,Rusayo
115_S115_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
130_S130_Inaba_2023,Inaba,campsite,cluster-c,Rusayo
6_S6_Ogawa_2023,Ogawa,campsite,cluster-e,Kanyaruchinya
135_S135_Ogawa_2023,Ogawa,env,env,Kiziba
106_S106_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
110_S110_Ogawa_2023,Ogawa,campsite,cluster-e,Bushagara
113_S113_Ogawa_2023,Ogawa,campsite,cluster-e,Munigi
114_S114_Inaba_2023,Inaba,campsite,cluster-e,Kanyaruchinya
4378_23_S77_Ogawa_2023,Ogawa,campsite,cluster-a,Nzulo
4520_23_S85_Inaba_2023,Inaba,campsite,cluster-a,Nzulo
4264_S63_Hikojima_2023,Hikojima,campsite,cluster-e,Bushagara
7090_S37_Inaba_2023,Inaba,campsite,cluster-e,Bushagara
7614_S36_Inaba_2023,Inaba,campsite,cluster-e,Bushagara
4311_S61_Ogawa_2023,Ogawa,campsite,cluster-e,Bushagara
9344_S41_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
9345_S45_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
9358_S40_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
9656_S42_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
10020_S39_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
10064_S44_Ogawa_2023,Ogawa,campsite,cluster-d,Don-Bosco
10144_S43_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
10153_S46_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
10322_S38_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
10418_S47_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
10649_S48_Inaba_2023,Inaba,campsite,cluster-d,Don-Bosco
7514_S60_Inaba_2024,Inaba,ctc,ctc, Mugungga
7517_S1_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
7527_S49_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
7531_S61_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
7534_S62_Inaba_2024,Inaba,ctc,ctc, Keshero
7575_S2_Inaba_2024,Inaba,campsite,cluster-a,Nzulo
7656_S63_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
7661_S64_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
7685_S65_Inaba_2024,Inaba,ctc,ctc, Mugungga
7691_S3_Inaba_2024,Inaba,ctc,ctc,Buhimba
7704_S66_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
7776_S4_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
7798_S5_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
7827_S6_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
7833_S67_Inaba_2024,Inaba,ctc,ctc,Buhimba
7849_S7_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
7854_S68_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
7862_S8_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
7950_S69_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
7981_S70_Inaba_2024,Inaba,ctc,ctc,Buhimba
7988_S71_Inaba_2024,Inaba,ctc,ctc, Mugungga
7995_S9_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8052_S10_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8056_S11_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8080_S72_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8096_S12_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8115_S73_Inaba_2024,Inaba,ctc,ctc, Mugungga
8123_S74_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8135_S75_Inaba_2024,Inaba,ctc,ctc,Buhimba
8172_S13_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8237_S94_Inaba_2024,Inaba,ctc,ctc, Mugungga
8247_S93_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8269_S16_Inaba_2024,Inaba,ctc,ctc,Buhimba
8300_S76_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8306_S91_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8308_S92_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8311_S77_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8446_S17_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8454_S18_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8456_S50_Inaba_2024,Inaba,ctc,ctc, Mugungga
8459_S19_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8464_S20_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8481_S95_Inaba_2024,Inaba,ctc,ctc,Buhimba
8512_S96_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8527_S21_Inaba_2024,Inaba,ctc,ctc,Buhimba
8585_S22_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8611_S23_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8616_S14_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8617_S15_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8618_S24_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8631_S25_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8683_S78_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8696_S26_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
8699_S27_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8743_S79_Inaba_2024,Inaba,ctc,ctc,Buhimba
8746_S28_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8751_S80_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
8795_S52_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8811_S53_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8813_S29_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8814_S30_Inaba_2024,Inaba,ctc,ctc,Kasika
8815_S31_Inaba_2024,Inaba,ctc,ctc, Mugungga
8868_S32_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8883_S33_Inaba_2024,Inaba,ctc,ctc,Kiziba
8934_S34_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
8977_S51_Inaba_2024,Inaba,ctc,ctc, Mugungga
9033_S81_Ogawa_2024,Ogawa,campsite,cluster-d,Don-Bosco
9043_S35_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
9045_S82_Inaba_2024,Inaba,ctc,ctc, Mugungga
9051_S48_Inaba_2024,Inaba,ctc,ctc,Buhimba
9052_S83_Ogawa_2024,Ogawa,ctc,ctc,Kiziba
9196_S36_Inaba_2024,Inaba,campsite,cluster-a,Nzulo
9205_S84_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
9209_S54_Inaba_2024,Inaba,ctc,ctc, Mugungga
9211_S85_Inaba_2024,Inaba,ctc,ctc,Buhimba
9360_S55_Inaba_2024,Inaba,ctc,ctc,Bakara
9372_S37_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
9373_S38_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
9425_S39_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
9426_S40_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
9427_S41_Inaba_2024,Inaba,campsite,cluster-c,Rusayo
9437_S56_Inaba_2024,Inaba,ctc,ctc, Mugungga
9438_S86_Inaba_2024,Inaba,ctc,ctc, HGR
9439_S57_Inaba_2024,Inaba,ctc,ctc, HGR
9471_S87_Inaba_2024,Inaba,ctc,ctc,Buhimba
9495_S88_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
9551_S42_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
9554_S43_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
9570_S58_Inaba_2024,Inaba,ctc,ctc, Mugungga
9629_S44_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
9631_S45_Inaba_2024,Inaba,campsite,cluster-e,Kanyaruchinya
9784_S89_Inaba_2024,Inaba,ctc,ctc,Buhimba
10034_S59_Inaba_2024,Inaba,campsite,cluster-d,Don-Bosco
10061_S46_Inaba_2024,Inaba,ctc,ctc, Mugungga
10076_S47_Inaba_2024,Inaba,campsite,cluster-a,Nzulo
10088_S90_Inaba_2024,Inaba,ctc,ctc,Buhimba